장,요건,충족
1장 데이터 이해 및 진단,변수사전 18컬럼,True
1장 데이터 이해 및 진단,품질 6기준 진단표,True
1장 데이터 이해 및 진단,프로파일 복제 진단,True
1장 데이터 이해 및 진단,가동 캘린더,True
1장 데이터 이해 및 진단,θ 확정,True
2장 AI 예측모델 개발 및 성능평가,2.2 베이스라인 결함표,True
2장 AI 예측모델 개발 및 성능평가,2.6 회귀 성능표,True
2장 AI 예측모델 개발 및 성능평가,2.7 피크탐지표 + τ + 달력규칙 행,True
2장 AI 예측모델 개발 및 성능평가,2.8 Ablation 5행,True
2장 AI 예측모델 개발 및 성능평가,2.9 스코어카드,True
2장 AI 예측모델 개발 및 성능평가,D1/D2 대비표,True
3장 영향요인 및 오류분석,3.1 상위 5변수,True
3장 영향요인 및 오류분석,3.2 상호작용 4종,True
3장 영향요인 및 오류분석,3.3 조건별 오차 7행,True
3장 영향요인 및 오류분석,3.4 혼동행렬 4구분,True
3장 영향요인 및 오류분석,3.5 실패사례 3건,True
3장 영향요인 및 오류분석,3.6 규칙 R1~R3,True
4장 현장 활용방안 (10점),본문 초안 생성,True
4장 현장 활용방안 (10점),레버 L1~L4 전부,True
4장 현장 활용방안 (10점),순절감액 산출,True
4장 현장 활용방안 (10점),민감도 ±30%,True
4장 현장 활용방안 (10점),운영 프로토콜,True
5장 창의성 및 차별성 (10점),본문 초안 생성,True
5장 창의성 및 차별성 (10점),차별점 5종,True
5장 창의성 및 차별성 (10점),2·3장 결과 연결,True
6장 코드 구성 및 재현성 (10점),본문 초안 생성,True
6장 코드 구성 및 재현성 (10점),예측결과 파일 336행,True
6장 코드 구성 및 재현성 (10점),requirements.txt,True
6장 코드 구성 및 재현성 (10점),환경 증거(requirements_generated),True
6장 코드 구성 및 재현성 (10점),그림 인덱스,True
6장 코드 구성 및 재현성 (10점),채움표,True
